customer_id,first_name,last_name,gender,marketing_opt_in,preferred_language,preferred_channel,lifetime_value,risk_score,first_order_date,last_order_date,num_orders,total_revenue,days_since_last_order,online_orders,store_orders,churned_90d
25,Mia,Martin,male,0,en,store,843.35,7,"2024-03-02 21:24:43","2025-11-17 15:58:28",4,2846.99,18,2,2,0
26,Isabella,Wilson,male,1,pt,online,1952.48,10,"2023-07-08 06:55:04","2024-01-23 19:14:39",3,2526.66,682,2,1,1
27,Lucas,Brown,male,0,pt,online,1978.29,84,"2023-01-20 04:22:56","2025-04-23 17:56:00",5,3783.31,226,3,2,1
28,Amelia,Brown,male,1,en,online,625.66,63,"2023-01-31 18:45:41","2025-04-30 01:52:08",4,3555.39,219,1,3,1
29,Hannah,King,female,1,en,online,1965.22,82,"2023-03-05 13:55:18","2025-09-20 12:22:21",4,2966.35,76,3,1,0
30,Liam,Garcia,male,1,en,both,835.57,59,"2023-11-14 13:36:26","2024-12-18 05:04:13",3,1323.72,352,1,2,1
31,Julia,Clark,female,0,en,online,59.56,79,"2023-06-06 03:26:15","2023-08-02 09:53:56",2,527.75,856,1,1,1
32,Ava,Miller,male,1,en,online,118.44,1,"2023-03-06 04:22:26","2024-10-09 08:48:24",2,1208.71,422,1,1,1
33,Samuel,Wright,male,1,en,both,871.43,65,"2024-05-23 22:22:02","2024-05-23 22:22:02",1,273.21,560,1,0,1
34,Lucas,Brown,female,1,en,both,156.78,45,"2023-03-12 08:08:13","2023-08-07 12:12:34",2,696.29,851,2,0,1
35,Charlotte,King,female,1,en,store,1247.49,71,"2024-08-09 16:04:07","2025-08-25 00:32:52",3,982.66,102,2,1,1
36,Nathan,Hall,male,0,fr,both,190.01,56,"2023-12-18 18:11:58","2025-04-29 15:00:19",4,1936.51,220,2,2,1
37,Ava,Taylor,male,0,pt,store,732.58,14,"2025-01-07 11:25:37","2025-06-08 22:55:05",2,779.79,179,1,1,1
38,Michael,White,female,0,en,online,789.50,59,"2023-02-02 09:11:53","2023-11-04 17:50:20",3,1809.19,762,1,2,1
39,Sophia,Brown,male,1,en,online,573.92,18,"2023-03-08 05:04:55","2025-08-09 21:15:57",3,1338.72,118,2,1,1
40,Michael,Harris,female,1,en,online,81.23,23,"2023-09-18 02:04:17","2025-01-09 09:23:34",3,1754.06,330,3,0,1
41,Amelia,Wright,female,1,pt,online,131.67,98,"2024-10-19 14:21:13","2024-10-19 14:21:13",1,294.06,412,1,0,1
42,Julia,Taylor,female,1,en,online,4.11,22,"2023-07-05 18:31:19","2025-04-08 23:29:03",3,1942.27,240,2,1,1
43,Olivia,Lee,female,1,pt,online,539.45,73,"2024-04-14 21:47:29","2025-10-25 18:34:29",3,2546.96,41,1,2,0
44,Isabella,Moore,male,1,pt,online,1973.05,67,"2023-02-04 08:05:46","2024-05-31 19:35:29",3,2711.08,553,3,0,1
45,Julia,Lopez,male,1,pt,online,2.58,85,"2024-04-09 07:50:01","2025-05-13 02:19:02",2,886.16,206,1,1,1
46,Liam,King,male,1,en,store,1612.02,42,"2024-02-12 20:42:22","2025-03-02 11:25:09",4,1902.34,278,2,2,1
47,Amelia,Miller,female,0,pt,online,0.36,20,"2023-03-28 19:22:12","2023-03-28 19:22:12",1,965.81,983,0,1,1
48,Julia,Jackson,male,0,pt,online,1835.81,50,"2023-09-04 07:29:12","2024-07-21 21:07:35",2,599.01,502,2,0,1
49,Ethan,Davis,male,1,en,online,1431.21,7,"2024-04-24 07:41:12","2024-07-23 09:16:41",2,1226.29,500,2,0,1
50,Mateo,King,male,1,pt,both,68.75,2,"2023-01-09 15:14:18","2023-11-13 07:56:49",2,869.60,753,2,0,1
51,Noah,Johnson,male,1,en,both,24.60,72,"2024-10-13 21:15:25","2025-05-07 08:46:42",4,2274.63,212,1,3,1
52,Liam,Moore,male,1,en,store,1787.43,62,"2023-06-19 11:05:03","2025-10-05 04:20:48",3,1239.92,61,3,0,0
53,Sophia,Hall,male,1,en,online,1749.52,33,"2023-12-17 17:46:54","2025-05-25 02:31:57",3,1079.04,194,2,1,1
54,Hannah,Jackson,male,1,en,both,35.36,19,"2023-01-14 04:33:42","2025-04-27 22:27:10",5,2114.84,221,4,1,1
55,Samuel,Johnson,male,1,fr,online,560.60,35,NULL,NULL,0,NULL,NULL,NULL,NULL,1
56,Mia,Young,male,1,en,both,633.89,50,"2023-05-20 03:59:43","2024-12-05 02:55:49",2,565.52,365,1,1,1
57,Ethan,Allen,female,1,pt,both,0.03,17,"2024-04-24 04:47:30","2024-10-22 21:40:41",2,656.09,408,1,1,1
58,David,Lee,male,1,es,online,819.03,23,"2023-12-04 23:22:43","2025-01-02 14:47:04",3,1781.27,337,2,1,1
59,Liam,Harris,male,0,en,store,495.10,99,"2023-07-07 13:08:03","2025-09-24 21:35:53",2,715.09,71,2,0,0
60,Charlotte,King,female,0,en,online,167.78,9,"2023-08-30 05:47:33","2024-10-22 01:52:14",2,1412.13,409,2,0,1
61,Hannah,Hall,male,1,en,store,0.12,23,NULL,NULL,0,NULL,NULL,NULL,NULL,1
62,Amelia,Harris,female,1,en,online,60.84,72,"2023-03-25 14:53:24","2025-10-22 21:47:54",6,1171.45,43,4,2,0
63,Amelia,Martin,male,1,en,online,462.14,65,"2024-01-15 12:01:00","2025-06-08 04:08:45",2,706.62,180,2,0,1
64,Sofia,King,male,1,fr,online,1431.09,57,"2023-07-02 17:15:18","2025-08-24 10:37:05",4,2260.54,103,1,3,1
65,Mia,Miller,male,0,en,both,9.00,81,"2023-09-16 23:31:03","2025-03-17 21:47:21",2,650.83,262,2,0,1
66,Alexander,White,female,1,en,online,21.90,98,"2024-04-24 06:42:54","2024-11-15 06:57:22",2,1011.52,385,1,1,1
67,Victoria,Thomas,male,1,en,both,221.04,23,"2024-07-30 05:15:08","2024-07-30 05:15:08",1,1092.36,493,1,0,1
68,Lucas,Johnson,female,1,en,online,42.66,17,"2023-02-18 10:36:00","2025-03-27 05:22:54",3,1556.92,253,1,2,1
69,Ava,Robinson,male,1,pt,store,741.83,57,"2023-04-26 01:30:20","2025-10-06 04:28:03",5,2290.69,60,2,3,0
70,Lucas,King,female,1,en,both,1173.89,66,"2023-01-05 12:54:17","2025-11-16 21:38:38",7,3876.06,18,5,2,0
71,Emma,Lee,female,1,en,both,220.27,61,NULL,NULL,0,NULL,NULL,NULL,NULL,1
72,Daniel,Harris,male,1,es,both,1398.80,74,"2023-05-04 15:46:07","2025-10-25 03:45:29",6,2552.34,41,5,1,0
73,David,Wright,male,1,en,online,647.13,52,"2023-12-03 01:39:42","2025-09-08 12:12:21",3,949.77,88,3,0,0
74,Julia,Anderson,female,1,en,online,1747.22,55,"2023-03-04 23:44:20","2024-12-15 10:28:58",3,609.36,355,2,1,1
75,Olivia,Robinson,female,0,en,online,1.09,59,"2023-09-26 02:31:37","2025-03-02 01:08:21",3,2091.68,278,3,0,1
76,Noah,Martinez,male,1,en,both,1304.80,37,"2023-07-29 20:12:55","2025-11-17 04:51:45",4,2944.77,18,3,1,0
77,Daniel,Thompson,female,0,pt,both,989.23,29,"2023-03-27 13:22:00","2025-07-04 06:08:14",4,1428.13,154,3,1,1
78,Lucas,Allen,male,1,en,online,4.40,33,"2024-02-12 04:17:57","2024-02-12 04:17:57",1,112.80,662,1,0,1
79,Chloe,Martin,male,1,en,online,278.75,51,"2023-04-28 20:54:33","2025-11-12 22:34:51",4,2106.37,22,3,1,0
80,Isabella,Anderson,female,0,en,online,1555.87,85,"2024-04-23 23:34:52","2024-08-16 21:21:03",2,1450.36,476,2,0,1
81,Charlotte,Walker,male,1,fr,online,500.53,70,"2023-04-03 15:30:06","2025-05-19 18:58:05",3,1005.84,200,3,0,1
82,Michael,Lewis,male,1,en,both,1021.82,69,"2023-01-11 16:06:42","2025-03-14 18:51:46",5,903.57,266,3,2,1
83,Ethan,Martin,female,1,en,both,1715.62,23,"2023-09-04 14:43:42","2025-06-21 09:26:00",5,3614.99,167,1,4,1
84,Chloe,Young,female,0,en,store,1668.89,32,"2024-04-17 05:41:33","2025-04-24 10:32:55",4,1612.81,225,3,1,1
85,Benjamin,Wilson,male,1,en,store,368.12,87,"2024-02-01 12:06:32","2024-08-02 21:19:51",2,77.08,490,0,2,1
86,Lucas,Harris,male,1,pt,online,495.30,2,"2025-06-21 00:54:06","2025-06-21 00:54:06",1,63.77,167,0,1,1
87,James,Robinson,female,1,en,online,1863.89,10,"2024-05-26 21:49:24","2024-10-11 11:04:35",3,1029.43,420,1,2,1
88,David,Davis,female,0,en,both,1858.55,64,"2023-04-03 07:16:12","2023-04-03 07:16:12",1,588.71,977,1,0,1
89,Mateo,Miller,female,1,en,store,340.14,99,"2024-09-24 00:15:55","2024-09-24 00:15:55",1,30.47,437,1,0,1
90,Gabriel,Harris,male,1,en,online,15.06,90,"2024-12-02 15:46:37","2025-08-02 16:29:57",4,1669.12,125,2,2,1
91,Olivia,Lopez,female,0,en,both,295.87,16,"2023-02-20 04:05:27","2025-08-26 06:12:55",5,631.78,101,3,2,1
92,Benjamin,Clark,other,1,en,online,72.36,40,"2023-05-29 18:43:03","2023-12-16 12:03:30",2,1546.24,720,0,2,1
93,Ethan,Harris,female,1,en,online,674.15,50,"2023-08-13 13:28:38","2025-06-05 21:52:23",3,2117.13,182,2,1,1
94,Amelia,Allen,female,0,en,store,540.93,57,"2023-04-13 20:47:28","2024-08-07 06:06:30",3,373.66,485,3,0,1
95,Victoria,Lewis,male,0,en,store,212.08,39,"2024-11-03 02:48:14","2025-08-26 04:11:10",2,1429.69,101,1,1,1
96,Ava,Moore,male,1,en,store,14.74,66,"2024-09-21 14:47:46","2024-09-21 14:47:46",1,23.96,440,1,0,1
97,Lucas,Lopez,male,1,pt,online,445.55,64,"2025-10-27 03:50:15","2025-10-27 03:50:15",1,944.02,39,1,0,0
98,Henry,Clark,male,1,pt,online,135.53,61,"2023-10-20 08:23:50","2024-12-13 03:46:25",3,3821.73,357,2,1,1
99,Mateo,Wilson,female,1,en,store,1293.46,2,NULL,NULL,0,NULL,NULL,NULL,NULL,1
100,Sofia,Lee,female,1,es,both,1024.31,71,"2023-03-24 20:29:46","2025-08-15 13:54:10",4,2571.94,112,2,2,1
101,Sofia,Miller,male,1,pt,both,1668.32,20,"2023-05-11 00:29:58","2024-10-15 21:49:58",3,1857.66,415,2,1,1
102,Sofia,Gonzalez,male,1,en,store,427.22,88,"2024-10-21 13:27:44","2025-07-11 08:56:57",2,551.32,147,2,0,1
103,Benjamin,Davis,male,1,pt,online,548.86,80,"2023-12-07 21:05:00","2023-12-07 21:05:00",1,20.39,729,1,0,1
104,Mia,Robinson,other,1,pt,online,52.60,84,"2023-03-10 04:19:09","2024-07-17 20:32:25",5,1996.15,506,3,2,1
105,Henry,White,female,1,en,online,116.85,55,"2023-07-07 11:18:45","2024-12-24 12:05:59",2,1172.13,346,1,1,1
106,David,Brown,male,0,en,both,374.64,94,"2023-06-30 22:23:39","2025-07-15 10:26:47",4,2581.25,143,2,2,1
107,Noah,Hall,prefer_not_to_say,0,en,store,1295.13,75,"2023-02-25 11:52:41","2024-12-31 04:10:15",3,2272.73,339,2,1,1
108,Victoria,Hall,male,1,en,online,202.55,87,"2023-05-19 06:02:11","2023-05-19 06:02:11",1,51.69,931,1,0,1
109,Samuel,Gonzalez,female,1,en,store,1645.03,12,"2023-07-28 08:26:22","2024-10-18 15:05:58",2,1401.56,413,1,1,1
110,Ava,Clark,male,1,en,online,1304.36,93,"2023-12-30 07:41:31","2025-05-14 10:39:40",2,286.39,205,2,0,1
111,Sophia,Smith,other,1,pt,both,257.51,28,"2023-04-18 22:50:25","2025-07-30 06:49:02",6,1461.26,128,2,4,1
112,Mia,Robinson,female,1,en,both,784.61,13,"2023-06-19 18:36:41","2025-03-21 03:12:37",4,656.67,259,2,2,1
113,Gabriel,Hall,male,1,en,online,644.45,87,NULL,NULL,0,NULL,NULL,NULL,NULL,1
114,Ethan,Young,female,1,en,online,178.38,68,"2024-06-17 01:47:06","2025-06-08 12:50:32",2,1106.10,180,2,0,1
115,David,Gonzalez,female,1,en,online,1044.34,28,"2023-02-13 01:58:26","2025-07-16 04:54:35",6,3285.10,142,6,0,1
116,Alexander,Lee,prefer_not_to_say,1,en,both,482.79,22,"2024-09-16 23:52:49","2024-09-16 23:52:49",1,991.85,444,1,0,1
117,Amelia,Harris,male,0,en,store,5.53,90,"2023-07-31 22:23:34","2024-08-26 23:17:40",2,384.58,465,0,2,1
118,Lucas,Perez,female,0,en,online,10.00,60,"2023-06-06 07:22:48","2025-05-21 04:17:22",2,1192.79,198,0,2,1
119,Hannah,Anderson,prefer_not_to_say,0,en,store,480.99,66,NULL,NULL,0,NULL,NULL,NULL,NULL,1
120,Benjamin,Jackson,female,1,pt,online,1498.76,15,"2024-03-13 02:11:31","2025-02-01 13:34:12",3,1526.61,307,1,2,1
121,Gabriel,Martin,female,1,pt,store,1507.69,78,"2024-03-05 11:25:56","2025-11-23 23:07:07",2,1764.19,11,2,0,0
122,Liam,Perez,male,1,en,online,311.95,11,"2025-01-25 06:59:20","2025-01-25 06:59:20",1,91.56,314,1,0,1
123,Alexander,Moore,female,1,en,both,612.96,40,"2024-07-27 22:42:27","2024-07-27 22:42:27",1,561.09,495,1,0,1
124,Ethan,Lee,male,1,pt,online,1420.06,35,"2025-02-19 01:00:45","2025-11-08 07:08:49",2,1022.09,27,1,1,0
125,Nathan,Wilson,male,1,pt,both,1.79,91,"2023-04-23 06:37:33","2024-09-22 05:22:07",4,1519.86,439,4,0,1
126,Isabella,Young,female,1,en,online,657.57,42,"2024-03-07 21:37:57","2024-03-07 21:37:57",1,27.41,637,0,1,1
127,Mateo,Anderson,male,1,en,store,1706.62,38,"2025-06-21 19:24:55","2025-06-26 14:34:53",2,427.74,162,0,2,1
128,Ava,Wright,male,1,en,online,1070.80,68,"2023-08-17 13:38:56","2025-05-09 11:11:23",4,1357.66,210,2,2,1
129,Hannah,Hall,male,1,en,online,1491.58,20,NULL,NULL,0,NULL,NULL,NULL,NULL,1
130,Gabriel,White,other,0,en,online,1.38,89,"2023-05-13 02:14:24","2024-12-10 10:54:30",2,2325.61,360,2,0,1
131,Chloe,Lee,prefer_not_to_say,1,en,store,436.56,88,"2023-04-10 08:12:05","2024-08-30 09:50:20",2,1275.52,462,2,0,1
132,Charlotte,Wilson,female,1,pt,both,1888.23,71,NULL,NULL,0,NULL,NULL,NULL,NULL,1
133,Hannah,Hall,male,1,en,online,170.41,71,"2023-03-22 06:57:34","2025-07-24 09:12:31",5,4338.91,134,3,2,1
134,Michael,Thomas,female,1,pt,both,1192.69,58,"2023-04-15 22:17:42","2025-03-30 15:11:55",6,2908.68,250,4,2,1
135,Sofia,Martinez,male,1,en,online,86.51,90,"2023-12-17 13:40:22","2023-12-17 13:40:22",1,142.20,719,1,0,1
136,Victoria,Robinson,female,0,en,both,1532.09,80,"2025-04-04 23:43:25","2025-10-15 23:45:38",4,1440.86,50,4,0,0
137,Amelia,Clark,male,0,en,online,1866.11,82,"2023-08-15 22:30:44","2025-06-14 16:39:21",2,1901.11,174,0,2,1
138,Julia,Lewis,prefer_not_to_say,1,en,online,746.89,72,"2023-10-21 20:37:01","2024-06-03 11:38:34",2,1396.50,550,2,0,1
139,Samuel,Garcia,male,1,en,both,21.71,2,"2023-01-22 00:15:14","2024-12-10 13:18:56",2,154.08,360,2,0,1
140,Benjamin,Moore,female,1,en,both,107.63,91,"2023-07-24 15:56:05","2024-11-22 07:18:45",2,1269.00,378,2,0,1
141,Sophia,Brown,male,0,en,both,384.19,24,"2023-07-09 21:02:05","2025-06-25 21:47:59",6,3761.22,162,5,1,1
142,James,Clark,male,0,pt,store,1441.12,7,"2023-10-13 01:38:24","2024-04-16 09:29:07",3,989.73,598,2,1,1
143,Mia,Lewis,female,1,en,both,233.91,22,"2024-04-05 21:24:54","2025-07-20 11:28:11",5,1016.50,138,3,2,1
144,Julia,Jackson,male,1,en,online,955.21,8,"2023-06-12 18:17:31","2025-09-04 01:15:03",3,1214.98,92,3,0,1
145,Henry,Garcia,male,1,en,online,48.53,75,NULL,NULL,0,NULL,NULL,NULL,NULL,1
146,David,Lewis,male,1,pt,both,1374.41,43,"2024-01-21 20:33:20","2024-02-28 16:00:55",2,1533.09,646,2,0,1
147,Victoria,Walker,female,1,en,online,351.74,12,NULL,NULL,0,NULL,NULL,NULL,NULL,1
148,Ava,Harris,female,1,en,online,83.14,6,"2023-02-24 18:02:32","2025-10-07 19:50:48",3,2205.36,59,2,1,0
149,Emma,Taylor,male,1,pt,store,2.23,16,"2023-03-11 22:11:13","2025-10-19 13:03:55",3,2743.85,47,1,2,0
150,Hannah,Taylor,female,1,en,store,72.21,23,"2024-01-15 10:53:03","2024-09-27 03:54:24",2,1180.69,434,0,2,1
151,Benjamin,Lopez,female,1,en,both,816.50,69,"2023-11-12 21:35:25","2023-11-12 21:35:25",1,722.37,753,1,0,1
152,Mia,Walker,female,1,en,both,1596.37,33,"2024-12-04 14:55:53","2024-12-04 14:55:53",1,217.59,366,0,1,1
153,Isabella,Allen,prefer_not_to_say,1,en,store,454.38,51,"2023-06-18 21:21:19","2023-08-07 16:28:48",2,546.56,851,1,1,1
154,Ethan,Lee,female,0,en,online,1083.65,20,"2025-07-27 01:30:29","2025-07-27 01:30:29",1,27.86,131,1,0,1
155,Liam,Lewis,female,1,pt,both,1078.64,21,"2024-06-01 06:59:41","2025-08-28 09:40:16",3,284.65,99,2,1,1
156,Hannah,Harris,male,1,en,online,1039.55,64,NULL,NULL,0,NULL,NULL,NULL,NULL,1
157,Elijah,Garcia,female,1,en,both,392.92,63,"2024-08-12 05:56:56","2024-08-12 05:56:56",1,30.95,480,0,1,1
158,Isabella,King,male,1,en,store,4.81,32,"2023-03-28 06:26:33","2023-03-28 06:26:33",1,154.82,983,0,1,1
159,Michael,Walker,female,1,en,online,330.40,77,"2023-04-12 15:43:53","2025-01-25 15:10:51",4,2569.61,314,1,3,1
160,Ethan,Johnson,male,0,en,store,296.29,58,"2024-07-10 14:23:47","2024-07-10 14:23:47",1,137.57,513,1,0,1
161,Benjamin,Garcia,male,1,fr,both,603.13,69,"2023-03-26 14:03:10","2025-08-12 12:44:52",7,2857.30,115,3,4,1
162,Ava,Garcia,male,1,pt,store,962.11,74,"2023-08-20 09:59:49","2025-08-17 23:41:14",4,3512.40,109,3,1,1
163,Emma,Hall,female,1,en,both,1984.52,16,"2024-05-29 14:18:50","2024-12-04 22:13:33",2,105.08,365,1,1,1
164,Michael,Miller,female,0,en,online,1317.17,72,NULL,NULL,0,NULL,NULL,NULL,NULL,1
165,Ethan,Allen,prefer_not_to_say,0,en,online,646.21,67,"2024-12-02 13:20:13","2024-12-02 13:20:13",1,1074.94,368,0,1,1
166,Samuel,Smith,male,0,en,online,323.35,25,"2024-09-19 10:33:28","2025-10-03 02:16:24",2,266.37,63,1,1,0
167,Ethan,Johnson,male,0,pt,online,0.02,58,"2023-10-29 12:22:34","2025-10-14 07:33:53",3,2544.90,52,0,3,0
168,James,Perez,male,1,en,store,402.86,6,"2023-08-24 05:18:57","2025-07-14 17:59:13",4,2090.50,144,3,1,1
169,Sofia,Hall,female,1,pt,both,1015.50,56,"2023-01-27 05:41:27","2024-01-17 19:58:57",2,1856.54,688,2,0,1
170,Henry,Allen,male,1,pt,store,1050.85,43,"2024-09-14 09:24:27","2024-09-14 09:24:27",1,377.15,447,1,0,1
171,Leo,Brown,female,1,en,both,351.92,91,"2024-07-12 01:39:07","2025-11-16 03:54:46",4,898.12,19,1,3,0
172,Michael,Lee,female,1,fr,online,1659.17,46,NULL,NULL,0,NULL,NULL,NULL,NULL,1
173,Victoria,Jackson,female,1,en,online,4.06,15,"2024-07-06 04:15:07","2025-04-17 16:47:19",3,1730.52,232,1,2,1
174,James,King,female,0,en,online,63.88,13,"2023-09-18 11:57:23","2025-08-24 03:57:00",4,745.34,103,3,1,1
175,Elijah,Thomas,male,0,en,both,1992.48,73,"2023-10-19 21:52:16","2025-05-30 23:32:11",4,2663.65,188,2,2,1
176,Olivia,Young,female,1,pt,both,123.08,56,"2025-05-08 02:34:14","2025-05-13 20:56:15",2,1610.17,206,2,0,1
177,Noah,Lee,male,0,pt,online,970.48,37,NULL,NULL,0,NULL,NULL,NULL,NULL,1
178,Elijah,Allen,female,0,es,both,1734.71,80,"2023-01-08 05:12:42","2024-06-01 01:50:55",2,142.78,552,1,1,1
179,Alexander,Miller,male,0,en,both,25.86,20,"2023-02-13 11:12:32","2024-04-04 04:18:40",2,528.04,610,0,2,1
180,Daniel,Moore,male,1,en,online,25.19,43,"2025-07-28 06:33:02","2025-07-28 06:33:02",1,99.22,130,1,0,1
181,Daniel,Perez,male,1,en,online,124.19,47,NULL,NULL,0,NULL,NULL,NULL,NULL,1
182,Sophia,Anderson,female,1,en,online,824.26,32,"2023-02-22 08:03:35","2025-06-14 14:06:15",5,1613.63,174,3,2,1
183,Noah,Gonzalez,female,1,en,both,1361.78,91,"2023-04-25 03:14:30","2023-04-25 03:14:30",1,875.34,955,0,1,1
184,Sofia,Lopez,female,0,en,online,0.19,46,"2023-04-03 07:32:57","2025-09-23 01:06:46",4,3335.76,73,3,1,0
185,Sofia,Thomas,female,1,en,online,1719.55,72,"2023-03-11 07:40:44","2025-04-28 13:00:01",4,2523.37,221,2,2,1
186,Gabriel,Brown,female,1,pt,store,126.13,93,NULL,NULL,0,NULL,NULL,NULL,NULL,1
187,Ava,Perez,male,1,es,both,5.29,16,"2024-07-28 20:58:10","2025-05-01 22:50:11",2,581.79,217,2,0,1
188,Michael,White,male,1,fr,store,1035.75,73,"2023-08-08 10:56:32","2025-10-29 07:53:22",4,978.16,37,1,3,0
189,Lucas,Miller,other,1,en,online,1176.92,80,"2024-12-11 14:57:13","2024-12-11 14:57:13",1,101.91,359,0,1,1
190,Henry,Walker,female,1,en,online,143.39,23,"2024-07-02 20:03:10","2025-05-04 05:53:25",2,502.81,215,0,2,1
191,Daniel,Young,female,1,pt,store,453.09,38,"2023-10-31 09:10:21","2024-09-23 06:29:29",2,1463.23,438,0,2,1
192,Lucas,Thompson,male,1,en,online,895.98,69,"2023-03-16 22:59:01","2025-03-20 12:14:45",3,901.77,260,2,1,1
193,Mia,Garcia,female,0,en,store,0.42,13,"2023-03-19 01:45:00","2024-09-24 09:51:22",4,867.25,437,2,2,1
194,David,Robinson,female,1,pt,store,287.03,77,"2023-12-05 11:23:22","2025-07-04 13:14:31",5,2390.44,154,2,3,1
195,Alexander,Brown,male,1,pt,both,1034.31,81,"2025-06-08 02:02:16","2025-06-08 02:02:16",1,1410.52,180,1,0,1
196,Alexander,Clark,female,1,en,online,0.02,18,"2023-08-23 17:41:53","2024-07-17 13:34:53",3,2350.40,506,3,0,1
197,Sofia,Young,female,1,en,both,456.29,44,"2023-07-13 17:30:14","2025-03-07 03:44:56",4,2124.34,273,2,2,1
198,Victoria,Martinez,female,1,pt,store,1592.93,70,"2025-11-10 19:59:31","2025-11-10 19:59:31",1,69.82,25,1,0,0
199,James,Perez,female,1,en,online,412.51,79,"2023-09-30 03:40:52","2025-09-28 01:23:41",3,1438.82,68,3,0,0
200,Samuel,Clark,male,1,pt,online,250.40,50,"2023-02-08 15:33:15","2025-05-18 02:18:46",5,2702.32,201,4,1,1
201,Nathan,Anderson,male,0,es,store,258.94,21,"2023-08-12 21:58:34","2024-10-26 19:45:04",2,907.40,405,1,1,1
202,Emma,Johnson,female,0,en,online,1701.66,44,"2023-03-29 07:13:53","2024-05-30 08:24:51",2,2457.27,554,2,0,1
203,Victoria,Lopez,female,0,es,both,2.54,99,NULL,NULL,0,NULL,NULL,NULL,NULL,1
204,Ava,Thomas,male,1,en,online,1008.19,98,"2023-12-29 05:33:57","2025-05-16 23:18:52",2,118.15,202,1,1,1
205,Nathan,King,female,1,en,both,785.31,61,"2023-11-11 09:33:31","2023-11-11 09:33:31",1,1186.45,755,0,1,1
206,Mateo,Thompson,female,1,en,online,1168.35,82,NULL,NULL,0,NULL,NULL,NULL,NULL,1
207,Mia,Martin,male,1,en,store,211.23,40,"2023-02-10 08:12:12","2024-02-20 07:39:07",3,1031.83,654,1,2,1
208,Amelia,Brown,male,1,en,online,1935.73,56,"2023-07-27 15:20:03","2023-12-11 22:43:03",2,2590.81,724,2,0,1
209,Victoria,Allen,male,0,en,both,13.19,24,"2023-12-27 12:31:59","2024-11-10 00:40:56",2,474.20,390,1,1,1
